Human Signaling Network,16-Jan-14,,,
3553,IL1B,5290,PIK3CA,Phy
999,CDH1,4233,MET,Neg
5170,PDPK1,3688,ITGB1,Pos
4793,NFKBIB,4790,NFKB1,Neg
2064,ERBB2,5295,PIK3R1,Pos
8550,MAPKAPK5,56915,EXOSC5,Pos
6198,RPS6KB1,1796,DOK1,Pos
220164,DOK6,2674,GFRA1,Phy
3560,IL2RB,9021,SOCS3,Pos
5720,PSME1,991,CDC20,Pos
23191,CYFIP1,3071,NCKAP1L,Phy
5690,PSMB2,5699,PSMB10,Phy
10488,CREB3,1387,CREBBP,Neg
699,BUB1,991,CDC20,Pos
7428,VHL,7852,CXCR4,Neg
801,CALM1,1612,DAPK1,Pos
9320,TRIP12,5694,PSMB6,Phy
1195,CLK1,6732,SRPK1,Pos
5711,PSMD5,11065,UBE2C,Pos
3815,KIT,53358,SHC3,Pos
6144,RPL21,6223,RPS19,Phy
10806,SDCCAG8,121441,NEDD1,Phy
356,FASLG,207,AKT1,Pos
80310,PDGFD,6654,SOS1,Pos
2770,GNAI1,2770,GNAI1,Pos
6846,XCL2,10803,CCR9,Pos
5518,PPP2R1A,286151,FBXO43,Pos
5599,MAPK8,10524,KAT5,Pos
8819,SAP30,9734,HDAC9,Phy
9883,POM121,10250,SRRM1,Pos
3685,ITGAV,5290,PIK3CA,Pos
10733,PLK4,1069,CETN2,Phy
388372,CCL4L2,2833,CXCR3,Pos
3122,HLA-DRA,53358,SHC3,Pos
7448,VTN,8515,ITGA10,Pos
94235,GNG8,5294,PIK3CG,Pos
1387,CREBBP,51176,LEF1,Phy
815,CAMK2A,5580,PRKCD,Pos
942,CD86,3559,IL2RA,Pos
5571,PRKAG1,32,ACACB,Neg
8061,FOSL1,595,CCND1,Pos
142,PARP1,1869,E2F1,Pos
3655,ITGA6,87,ACTN1,Phy
29979,UBQLN1,5683,PSMA2,Phy
2787,GNG5,8503,PIK3R3,Pos
9861,PSMD6,122706,PSMB11,Phy
5692,PSMB4,5713,PSMD7,Phy
51176,LEF1,595,CCND1,Pos
3685,ITGAV,3693,ITGB5,Phy
64210,MMS19,4089,SMAD4,Neg
701,BUB1B,23140,ZZEF1,Phy
5595,MAPK3,2908,NR3C1,Neg
7277,TUBA4A,9793,CKAP5,Phy
23411,SIRT1,405,ARNT,Phy
484,ATP1B3P1,55930,MYO5C,Pos
51386,EIF3L,8663,EIF3C,Phy
905,CCNT2,5439,POLR2J,Pos
88,ACTN2,9564,BCAR1,Phy
6281,S100A10,5321,PLA2G4A,Neg
2280,FKBP1A,4088,SMAD3,Neg
3630,INS,7124,TNF,Neg
5347,PLK1,54984,PINX1,Pos
5335,PLCG1,11261,CHP,Pos
4092,SMAD7,6885,MAP3K7,Pos
1012,CDH13,5879,RAC1,Pos
6129,RPL7,6144,RPL21,Phy
5308,PITX2,2778,GNAS,Neg
5332,PLCB4,5580,PRKCD,Pos
10011,SRA1,10714,POLD3,Pos
10468,FST,7040,TGFB1,Neg
25780,RASGRP3,54386,TERF2IP,Pos
920,CD4,11184,MAP4K1,Pos
9491,PSMF1,5715,PSMD9,Phy
6205,RPS11,6224,RPS20,Phy
207,AKT1,2782,GNB1,Pos
348,APOE,3990,LIPC,Pos
5433,POLR2D,2965,GTF2H1,Phy
4089,SMAD4,5933,RBL1,Pos
5443,POMC,4986,OPRK1,Pos
6714,SRC,945,CD33,Pos
783,CACNB2,776,CACNA1D,Phy
23368,PPP1R13B,581,BAX,Pos
5581,PRKCE,3694,ITGB6,Pos
10663,CXCR6,409,ARRB2,Phy
2782,GNB1,6885,MAP3K7,Pos
5566,PRKACA,2932,GSK3B,Pos
26512,INTS6,9611,NCOR1,Phy
5716,PSMD10,991,CDC20,Pos
5566,PRKACA,56915,EXOSC5,Pos
8503,PIK3R3,7294,TXK,Pos
5568,PRKACG,51085,MLXIPL,Neg
5584,PRKCI,8878,SQSTM1,Phy
26234,FBXL5,4790,NFKB1,Neg
4776,NFATC4,5743,PTGS2,Pos
3320,HSP90AA1,5577,PRKAR2B,Phy
7033,TFF3,2688,GH1,Pos
6156,RPL30,6193,RPS5,Phy
836,CASP3,5585,PKN1,Pos
56477,CCL28,10803,CCR9,Pos
79959,CEP76,8481,OFD1,Phy
8798,DYRK4,10273,STUB1,Pos
6157,RPL27A,6181,RPLP2,Phy
10284,SAP18,7321,UBE2D1,Phy
8440,NCK2,57144,PAK7,Pos
1000,CDH2,1500,CTNND1,Phy
2773,GNAI3,919,CD247,Neg
3665,IRF7,3449,IFNA16,Pos
1387,CREBBP,4586,MUC5AC,Pos
898,CCNE1,2305,FOXM1,Pos
2064,ERBB2,55914,ERBB2IP,Phy
10298,PAK4,9459,ARHGEF6,Pos
5300,PIN1,6198,RPS6KB1,Pos
2932,GSK3B,2998,GYS2,Neg
2781,GNAZ,6725,SRMS,Neg
3654,IRAK1,51135,IRAK4,Phy
1019,CDK4,7027,TFDP1,Neg
6850,SYK,6777,STAT5B,Pos
6300,MAPK12,1385,CREB1,Pos
5702,PSMC3,51371,POMP,Phy
1908,EDN3,1910,EDNRB,Pos
260425,MAGI3,9170,LPAR2,Phy
6383,SDC2,2263,FGFR2,Pos
29979,UBQLN1,996,CDC27,Pos
4803,NGF,6610,SMPD2,Pos
2534,FYN,2534,FYN,Phy
627,BDNF,53358,SHC3,Pos
8600,TNFSF11,7189,TRAF6,Pos
1154,CISH,5588,PRKCQ,Phy
3985,LIMK2,2185,PTK2B,Pos
10148,EBI3,6776,STAT5A,Pos
4893,NRAS,5294,PIK3CG,Phy
3726,JUNB,4772,NFATC1,Phy
1499,CTNNB1,9734,HDAC9,Neg
3169,FOXA1,6441,SFTPD,Pos
25920,COBRA1,2354,FOSB,Pos
2268,FGR,29760,BLNK,Phy
5440,POLR2K,171568,POLR3H,Phy
19,ABCA1,3949,LDLR,Neg
146,ADRA1D,2769,GNA15,Pos
1906,EDN1,4312,MMP1,Neg
5711,PSMD5,5698,PSMB9,Phy
6198,RPS6KB1,3190,HNRNPK,Pos
6667,SP1,4513,COX2,Neg
6256,RXRA,126129,CPT1C,Pos
6827,SUPT4H1,2963,GTF2F2,Phy
27338,UBE2S,8881,CDC16,Phy
8851,CDK5R1,4956,ODF1,Pos
6125,RPL5,6234,RPS28,Phy
567,B2M,942,CD86,Neg
1453,CSNK1D,11190,CEP250,Phy
1289,COL5A1,3679,ITGA7,Pos
11116,FGFR1OP,9814,SFI1,Phy
3915,LAMC1,3695,ITGB7,Pos
6362,CCL18,729230,CCR2,Pos
10497,UNC13B,6844,VAMP2,Pos
2965,GTF2H1,2957,GTF2A1,Phy
5887,RAD23B,1017,CDK2,Pos
10891,PPARGC1A,4205,MEF2A,Phy
10818,FRS2,9965,FGF19,Phy
5576,PRKAR2A,3925,STMN1,Pos
9846,GAB2,3845,KRAS,Neg
246184,CDC26,85417,CCNB3,Neg
8772,FADD,8797,TNFRSF10A,Phy
5879,RAC1,4593,MUSK,Pos
820,CAMP,5566,PRKACA,Pos
1796,DOK1,7525,YES1,Phy
29851,ICOS,5291,PIK3CB,Pos
2335,FN1,3383,ICAM1,Pos
1965,EIF2S1,6189,RPS3A,Phy
2494,NR5A2,2087,ERVK2,Pos
1454,CSNK1E,84131,CEP78,Phy
2268,FGR,2041,EPHA1,Neg
3956,LGALS1,1278,COL1A2,Neg
317,APAF1,840,CASP7,Pos
2534,FYN,6714,SRC,Phy
4609,MYC,1649,DDIT3,Neg
5270,SERPINE2,5652,PRSS8,Neg
983,CDK1,29924,EPN1,Pos
6425,SFRP5,7484,WNT9B,Neg
3921,RPSA,6169,RPL38,Phy
779,CACNA1S,59284,CACNG7,Phy
8986,RPS6KA4,10848,PPP1R13L,Pos
1019,CDK4,56915,EXOSC5,Pos
6602,SMARCD1,2962,GTF2F1,Pos
10051,SMC4,64151,NCAPG,Phy
2963,GTF2F2,2968,GTF2H4,Phy
4804,NGFR,389,RHOC,Neg
10458,BAIAP2,10458,BAIAP2,Phy
3576,IL8,1956,EGFR,Pos
9709,HERPUD1,11082,ESM1,Pos
7200,TRH,4082,MARCKS,Pos
3320,HSP90AA1,9662,CEP135,Phy
5008,OSM,1906,EDN1,Pos
23163,GGA3,1212,CLTB,Neg
6367,CCL22,3577,CXCR1,Pos
5708,PSMD2,7324,UBE2E1,Pos
3479,IGF1,5564,PRKAB1,Pos
5563,PRKAA2,3172,HNF4A,Pos
3837,KPNB1,5901,RAN,Phy
1948,EFNB2,4893,NRAS,Neg
51761,ATP8A2,820,CAMP,Pos
29945,ANAPC4,10393,ANAPC10,Pos
140801,RPL10L,6205,RPS11,Phy
2257,FGF12,2264,FGFR4,Phy
51377,UCHL5,5694,PSMB6,Phy
7791,ZYX,88,ACTN2,Phy
137075,CLDN23,4950,OCLN,Phy
975,CD81,7430,EZR,Pos
5777,PTPN6,7409,VAV1,Neg
2177,FANCD2,7133,TNFRSF1B,Phy
2729,GCLC,7124,TNF,Neg
5616,PRKY,6945,MLX,Pos
2305,FOXM1,7039,TGFA,Pos
5606,MAP2K3,5603,MAPK13,Pos
25803,SPDEF,8878,SQSTM1,Pos
6156,RPL30,9513,FXR2,Phy
25780,RASGRP3,59283,CACNG8,Phy
3560,IL2RB,7293,TNFRSF4,Pos
10540,DCTN2,5577,PRKAR2B,Phy
916,CD3E,941,CD80,Neg
1901,S1PR1,2792,GNGT1,Phy
92170,MTG1,2644,GCHFR,Pos
414062,CCL3L3,1230,CCR1,Pos
6915,TBXA2R,2782,GNB1,Neg
5566,PRKACA,7283,TUBG1,Phy
8576,STK16,1936,EEF1D,Pos
8841,HDAC3,5468,PPARG,Neg
3040,HBA2,6164,RPL34,Phy
5624,PROC,3383,ICAM1,Neg
5580,PRKCD,56478,EIF4ENIF1,Pos
2534,FYN,917,CD3G,Phy
5026,P2RX5,6263,RYR3,Phy
1365,CLDN3,23562,CLDN14,Phy
53944,CSNK1G1,7531,YWHAE,Pos
5717,PSMD11,10213,PSMD14,Phy
10095,ARPC1B,10097,ACTR2,Phy
2249,FGF4,2353,FOS,Pos
6258,RXRG,3158,HMGCS2,Pos
91442,C19orf40,55120,FANCL,Phy
9669,EIF5B,6122,RPL3,Pos
6156,RPL30,6170,RPL39,Phy
2868,GRK4,1230,CCR1,Pos
1975,EIF4B,6194,RPS6,Pos
51377,UCHL5,8697,CDC23,Pos
4313,MMP2,4323,MMP14,Phy
26227,PHGDH,3105,HLA-A,Pos
838,CASP5,58155,PTBP2,Pos
5880,RAC2,5058,PAK1,Pos
3725,JUN,3823,KLRC3,Pos
51741,WWOX,7161,TP73,Neg
3708,ITPR1,5332,PLCB4,Phy
2263,FGFR2,5295,PIK3R1,Pos
64121,RRAGC,57521,RPTOR,Neg
8321,FZD1,1855,DVL1,Pos
84254,CAMKK1,4194,MDM4,Pos
815,CAMK2A,774,CACNA1B,Pos
5468,PPARG,1374,CPT1A,Pos
6776,STAT5A,5292,PIM1,Pos
6571,SLC18A2,6571,SLC18A2,Pos
7040,TGFB1,6885,MAP3K7,Pos
3039,HBA1,6135,RPL11,Phy
9820,CUL7,8697,CDC23,Phy
129401,NUP35,81929,SEH1L,Phy
8894,EIF2S2,6208,RPS14,Pos
4914,NTRK1,10818,FRS2,Phy
6283,S100A12,7097,TLR2,Phy
1277,COL1A1,332,BIRC5,Pos
4149,MAX,1973,EIF4A1,Pos
10383,TUBB2C,5577,PRKAR2B,Phy
6175,RPLP0,6189,RPS3A,Phy
9693,RAPGEF2,54386,TERF2IP,Pos
10236,HNRNPR,2353,FOS,Pos
3556,IL1RAP,51135,IRAK4,Phy
2263,FGFR2,56904,SH3GLB2,Phy
207,AKT1,6199,RPS6KB2,Pos
5693,PSMB5,5710,PSMD4,Phy
3452,IFNA21,3455,IFNAR2,Phy
11224,RPL35,7316,UBC,Phy
4171,MCM2,4176,MCM7,Phy
6204,RPS10,6223,RPS19,Phy
2259,FGF14,5159,PDGFRB,Pos
5594,MAPK1,5329,PLAUR,Pos
10454,MAP3K7IP1,257397,MAP3K7IP3,Phy
3561,IL2RG,9021,SOCS3,Pos
2534,FYN,7305,TYROBP,Pos
2185,PTK2B,7117,TMSL3,Pos
2512,FTL,6175,RPLP0,Phy
10497,UNC13B,25782,RAB3GAP2,Phy
183,AGT,5335,PLCG1,Pos
1432,MAPK14,2115,ETV1,Neg
10686,CLDN16,7122,CLDN5,Phy
2214,FCGR3A,6850,SYK,Pos
5340,PLG,2150,F2RL1,Pos
1457,CSNK2A1,11244,ZHX1,Pos
51684,SUFU,5928,RBBP4,Phy
695,BTK,1025,CDK9,Pos
9560,CCL4L1,643,CXCR5,Pos
4783,NFIL3,5741,PTH,Neg
64750,SMURF2,2263,FGFR2,Neg
7443,VRK1,1385,CREB1,Pos
6555,SLC10A2,51433,ANAPC5,Pos
2213,FCGR2B,1445,CSK,Pos
5699,PSMB10,5701,PSMC2,Phy
5328,PLAU,64006,ERVK6,Neg
8651,SOCS1,867,CBL,Neg
1730,DIAPH2,375189,PFN4,Pos
85366,MYLK2,29895,MYLPF,Pos
3909,LAMA3,7534,YWHAZ,Phy
6191,RPS4X,6217,RPS16,Phy
389,RHOC,6093,ROCK1,Pos
839,CASP6,1973,EIF4A1,Pos
1365,CLDN3,26285,CLDN17,Phy
1301,COL11A1,3688,ITGB1,Pos
219699,UNC5B,2534,FYN,Pos
5685,PSMA4,51433,ANAPC5,Pos
4023,LPL,336,APOA2,Pos
8986,RPS6KA4,7798,LUZP1,Pos
4217,MAP3K5,5599,MAPK8,Pos
405,ARNT,3162,HMOX1,Pos
650621,LOC650621,51433,ANAPC5,Pos
8819,SAP30,2737,GLI3,Neg
2967,GTF2H3,5440,POLR2K,Pos
468,ATF4,1387,CREBBP,Neg
1386,ATF2,4089,SMAD4,Phy
3681,ITGAD,7094,TLN1,Phy
6132,RPL8,6218,RPS17,Phy
5058,PAK1,9775,EIF4A3,Pos
3725,JUN,4502,MT2A,Pos
5366,PMAIP1,578,BAK1,Pos
3576,IL8,2919,CXCL1,Neg
6347,CCL2,3569,IL6,Pos
2966,GTF2H2,2957,GTF2A1,Phy
7532,YWHAG,5577,PRKAR2B,Phy
7186,TRAF2,958,CD40,Phy
5687,PSMA6,5694,PSMB6,Phy
5579,PRKCB,9672,SDC3,Pos
3562,IL3,5567,PRKACB,Pos
5196,PF4,2771,GNAI2,Pos
6125,RPL5,7314,UBB,Phy
2002,ELK1,2353,FOS,Pos
405,ARNT,10987,COPS5,Phy
7534,YWHAZ,5604,MAP2K1,Pos
2770,GNAI1,9564,BCAR1,Neg
5576,PRKAR2A,5829,PXN,Neg
2769,GNA15,54331,GNG2,Phy
25873,RPL36,51081,MRPS7,Phy
7454,WAS,10093,ARPC4,Pos
2237,FEN1,57804,POLD4,Pos
112398,EGLN2,3091,HIF1A,Pos
117177,RAB3IP,4218,RAB8A,Pos
7422,VEGFA,7412,VCAM1,Pos
2261,FGFR3,30011,SH3KBP1,Phy
5435,POLR2F,2068,ERCC2,Phy
1856,DVL2,81839,VANGL1,Phy
2555,GABRA2,2557,GABRA4,Phy
84152,PPP1R1B,5464,PPA1,Neg
387,RHOA,2335,FN1,Pos
10094,ARPC3,6188,RPS3,Phy
3565,IL4,836,CASP3,Neg
51701,NLK,3172,HNF4A,Neg
5479,PPIB,682,BSG,Pos
5116,PCNT,7532,YWHAG,Phy
6696,SPP1,3690,ITGB3,Pos
2516,NR5A1,6770,STAR,Pos
29924,EPN1,652799,LOC652799,Phy
2957,GTF2A1,2959,GTF2B,Phy
208,AKT2,5058,PAK1,Neg
27124,INPP5J,5333,PLCD1,Phy
6135,RPL11,4691,NCL,Neg
9662,CEP135,22994,AZI1,Phy
4792,NFKBIA,6500,SKP1,Phy
2,A2M,4035,LRP1,Pos
4214,MAP3K1,4775,NFATC3,Neg
6464,SHC1,2885,GRB2,Phy
9265,CYTH3,382,ARF6,Pos
1852,DUSP9,5600,MAPK11,Neg
1235,CCR6,3718,JAK3,Pos
5906,RAP1A,387,RHOA,Neg
7482,WNT2B,8326,FZD9,Pos
10459,MAD2L2,25847,ANAPC13,Neg
392255,GDF6,269,AMHR2,Pos
3368,HVBS6,5284,PIGR,Pos
1277,COL1A1,3673,ITGA2,Pos
6997,TDGF1,7525,YES1,Pos
4739,NEDD9,7205,TRIP6,Phy
7175,TPR,6633,SNRPD2,Pos
2775,GNAO1,387,RHOA,Pos
166336,PRICKLE2,1856,DVL2,Phy
150084,IGSF5,9223,MAGI1,Phy
7046,TGFBR1,11171,STRAP,Neg
6714,SRC,2534,FYN,Phy
9918,NCAPD2,5568,PRKACG,Phy
3375,IAPP,799,CALCR,Pos
23405,DICER1,23405,DICER1,Pos
54962,TIPIN,5983,RFC3,Phy
6774,STAT3,896,CCND3,Pos
6256,RXRA,2710,GK,Pos
8767,RIPK2,23118,MAP3K7IP2,Pos
5595,MAPK3,9846,GAB2,Phy
7161,TP73,9540,TP53I3,Pos
7027,TFDP1,8824,CES2,Pos
51081,MRPS7,6170,RPL39,Phy
10645,CAMKK2,5127,CDK16,Pos
9970,NR1I3,5604,MAP2K1,Pos
3497,IGHE,25759,SHC2,Pos
5700,PSMC1,5709,PSMD3,Phy
6147,RPL23A,6234,RPS28,Phy
5777,PTPN6,6955,TRA@,Pos
5595,MAPK3,7412,VCAM1,Neg
10284,SAP18,55806,HR,Phy
6714,SRC,4792,NFKBIA,Pos
5699,PSMB10,5693,PSMB5,Phy
2185,PTK2B,7041,TGFB1I1,Pos
57172,CAMK1G,3265,HRAS,Pos
160,AP2A1,867,CBL,Pos
6787,NEK4,10212,DDX39A,Pos
6011,GRK1,611,OPN1SW,Neg
10253,SPRY2,27006,FGF22,Phy
29978,UBQLN2,26996,GPR160,Neg
53944,CSNK1G1,1857,DVL3,Neg
5590,PRKCZ,51283,BFAR,Pos
7186,TRAF2,5606,MAP2K3,Pos
7066,THPO,3091,HIF1A,Pos
3553,IL1B,2688,GH1,Pos
2157,F8,4035,LRP1,Pos
7525,YES1,10146,G3BP1,Pos
1386,ATF2,8739,HRK,Pos
6285,S100B,7124,TNF,Neg
1020,CDK5,56950,SMYD2,Pos
51100,SH3GLB1,5979,RET,Phy
590,BCHE,43,ACHE,Neg
3558,IL2,5600,MAPK11,Pos
79837,PIP4K2C,88,ACTN2,Phy
5058,PAK1,4593,MUSK,Phy
3170,FOXA2,3767,KCNJ11,Pos
5791,PTPRE,7525,YES1,Pos
2147,F2,7852,CXCR4,Phy
5728,PTEN,648,BMI1,Neg
8503,PIK3R3,5170,PDPK1,Pos
3449,IFNA16,3458,IFNG,Pos
3717,JAK2,815,CAMK2A,Pos
406,ARNTL,1408,CRY2,Pos
1191,CLU,7040,TGFB1,Neg
5055,SERPINB2,5501,PPP1CC,Neg
83931,STK40,55796,MBNL3,Pos
8554,PIAS1,6773,STAT2,Neg
652614,LOC652614,3806,KIR2DS1,Pos
55755,CDK5RAP2,1781,DYNC1I2,Phy
6804,STX1A,41,ACCN2,Neg
2249,FGF4,5335,PLCG1,Pos
7283,TUBG1,9738,CP110,Phy
11171,STRAP,4088,SMAD3,Neg
6159,RPL29,6193,RPS5,Phy
7283,TUBG1,5577,PRKAR2B,Phy
4283,CXCL9,643,CXCR5,Pos
156,ADRBK1,11318,GPR182,Pos
2280,FKBP1A,7042,TGFB2,Neg
1445,CSK,6714,SRC,Pos
8517,IKBKG,4790,NFKB1,Pos
7341,SUMO1,999,CDH1,Pos
7469,WHSC2,51497,TH1L,Phy
7417,VDAC2,581,BAX,Pos
1496,CTNNA2,60,ACTB,Phy
5906,RAP1A,4059,BCAM,Pos
5926,ARID4A,5925,RB1,Neg
7531,YWHAE,8636,SSNA1,Phy
10096,ACTR3,1026,CDKN1A,Phy
81029,WNT5B,8322,FZD4,Pos
11047,ADRM1,51433,ANAPC5,Pos
3122,HLA-DRA,916,CD3E,Phy
5594,MAPK1,9612,NCOR2,Neg
2317,FLNB,3680,ITGA9,Phy
79902,NUP85,11097,NUPL2,Phy
2798,GNRHR,2778,GNAS,Pos
1869,E2F1,1871,E2F3,Phy
10018,BCL2L11,581,BAX,Pos
5695,PSMB7,197131,UBR1,Phy
8322,FZD4,1857,DVL3,Pos
3091,HIF1A,79365,BHLHE41,Pos
1030,CDKN2B,1019,CDK4,Neg
6198,RPS6KB1,6228,RPS23,Pos
7157,TP53,3486,IGFBP3,Pos
2308,FOXO1,6774,STAT3,Phy
5899,RALB,1432,MAPK14,Pos
162,AP1B1,164,AP1G1,Phy
2885,GRB2,2002,ELK1,Pos
10207,INADL,10686,CLDN16,Phy
2064,ERBB2,3717,JAK2,Pos
2908,NR3C1,6446,SGK1,Neg
23165,NUP205,10189,THOC4,Pos
80227,PAAF1,23198,PSME4,Phy
10803,CCR9,3718,JAK3,Pos
116985,ARAP1,387,RHOA,Neg
7040,TGFB1,2064,ERBB2,Pos
1499,CTNNB1,8945,BTRC,Phy
6955,TRA@,916,CD3E,Phy
3815,KIT,6456,SH3GL2,Phy
5782,PTPN12,9063,PIAS2,Phy
7046,TGFBR1,83939,EIF2A,Pos
1977,EIF4E,1975,EIF4B,Phy
5567,PRKACB,2033,EP300,Pos
5108,PCM1,8636,SSNA1,Phy
7175,TPR,2645,GCK,Pos
9170,LPAR2,5970,RELA,Pos
9350,CER1,7472,WNT2,Neg
2357,FPR1,9368,SLC9A3R1,Phy
3611,ILK,94274,PPP1R14A,Pos
1946,EFNA5,285220,EPHA6,Phy
837,CASP4,1982,EIF4G2,Pos
50943,FOXP3,4790,NFKB1,Neg
51529,ANAPC11,8881,CDC16,Pos
6356,CCL11,729230,CCR2,Pos
1019,CDK4,55796,MBNL3,Pos
5580,PRKCD,9564,BCAR1,Pos
3560,IL2RB,5551,PRF1,Pos
1956,EGFR,9266,CYTH2,Pos
156,ADRBK1,2833,CXCR3,Pos
6170,RPL39,6181,RPLP2,Phy
27148,STK36,2736,GLI2,Pos
9466,IL27RA,6774,STAT3,Pos
1973,EIF4A1,1974,EIF4A2,Pos
3595,IL12RB2,6778,STAT6,Pos
80254,CEP63,8481,OFD1,Phy
5520,PPP2R2A,7531,YWHAE,Pos
6452,SH3BP2,6955,TRA@,Phy
891,CCNB1,29945,ANAPC4,Pos
2057,EPOR,9021,SOCS3,Phy
1154,CISH,6774,STAT3,Neg
2069,EREG,2066,ERBB4,Pos
3561,IL2RG,9046,DOK2,Pos
11040,PIM2,56478,EIF4ENIF1,Pos
51081,MRPS7,6222,RPS18,Phy
10213,PSMD14,5719,PSMD13,Phy
5753,PTK6,4087,SMAD2,Pos
9252,RPS6KA5,4760,NEUROD1,Pos
7048,TGFBR2,7458,EIF4H,Pos
3563,IL3RA,3717,JAK2,Phy
3682,ITGAE,811,CALR,Phy
50514,Dec-01,9575,CLOCK,Neg
5996,RGS1,4067,LYN,Neg
9212,AURKB,80095,ZNF606,Pos
1432,MAPK14,4609,MYC,Pos
5702,PSMC3,9491,PSMF1,Phy
7473,WNT3,8323,FZD6,Pos
3066,HDAC2,5931,RBBP7,Phy
7166,TPH1,2849,GPR26,Pos
2908,NR3C1,5295,PIK3R1,Pos
10987,COPS5,4092,SMAD7,Pos
5688,PSMA7,51434,ANAPC7,Pos
1535,CYBA,653361,NCF1,Phy
57104,PNPLA2,2247,FGF2,Neg
7341,SUMO1,8021,NUP214,Phy
6794,STK11,6604,SMARCD3,Pos
5687,PSMA6,5711,PSMD5,Phy
5573,PRKAR1A,5829,PXN,Neg
4792,NFKBIA,3558,IL2,Pos
23566,LPAR3,2549,GAB1,Pos
7030,TFE3,5054,SERPINE1,Pos
3725,JUN,335,APOA1,Neg
5599,MAPK8,1850,DUSP8,Pos
5600,MAPK11,2353,FOS,Pos
84131,CEP78,80321,CEP70,Phy
8646,CHRD,655,BMP7,Neg
5592,PRKG1,5350,PLN,Neg
3725,JUN,8809,IL18R1,Pos
1270,CNTF,3572,IL6ST,Pos
79959,CEP76,7846,TUBA1A,Phy
3491,CYR61,3678,ITGA5,Pos
9789,SPCS2,3630,INS,Pos
8658,TNKS,7015,TERT,Pos
983,CDK1,84131,CEP78,Phy
2549,GAB1,26291,FGF21,Phy
148738,HFE2,650,BMP2,Phy
50944,SHANK1,9229,DLGAP1,Phy
4751,NEK2,7277,TUBA4A,Phy
6749,SSRP1,836,CASP3,Pos
5721,PSME2,9491,PSMF1,Phy
10870,HCST,5294,PIK3CG,Pos
27338,UBE2S,8924,HERC2,Phy
5810,RAD1,63967,CLSPN,Phy
3921,RPSA,6234,RPS28,Phy
156,ADRBK1,4988,OPRM1,Neg
774,CACNA1B,786,CACNG1,Phy
3692,EIF6,6235,RPS29,Pos
3480,IGF1R,5293,PIK3CD,Pos
7531,YWHAE,7534,YWHAZ,Pos
1890,TYMP,27306,HPGDS,Pos
3066,HDAC2,8338,HIST2H2AC,Pos
3569,IL6,7297,TYK2,Phy
915,CD3D,941,CD80,Neg
1906,EDN1,5599,MAPK8,Pos
613,BCR,25759,SHC2,Phy
1869,E2F1,1499,CTNNB1,Neg
5535,PPP3R2,51433,ANAPC5,Pos
1983,EIF5,100291837,LOC100291837,Pos
5694,PSMB6,5711,PSMD5,Phy
1232,CCR3,2773,GNAI3,Pos
10733,PLK4,22897,CEP164,Phy
9560,CCL4L1,3577,CXCR1,Pos
7048,TGFBR2,4087,SMAD2,Pos
25847,ANAPC13,29882,ANAPC2,Pos
405,ARNT,3791,KDR,Pos
1612,DAPK1,7249,TSC2,Pos
3674,ITGA2B,382,ARF6,Pos
10401,PIAS3,4089,SMAD4,Pos
9320,TRIP12,6500,SKP1,Pos
5685,PSMA4,5693,PSMB5,Phy
10319,LAMC3,1605,DAG1,Pos
2932,GSK3B,54665,RSBN1,Pos
10197,PSME3,5685,PSMA4,Phy
2147,F2,5567,PRKACB,Phy
5155,PDGFB,2263,FGFR2,Pos
10681,GNB5,5158,PDE6B,Neg
7316,UBC,8894,EIF2S2,Phy
3456,IFNB1,3454,IFNAR1,Pos
1019,CDK4,4088,SMAD3,Neg
5718,PSMD12,6622,SNCA,Neg
3560,IL2RB,3561,IL2RG,Neg
238,ALK,7157,TP53,Neg
917,CD3G,25759,SHC2,Pos
983,CDK1,11258,DCTN3,Phy
3593,IL12B,51561,IL23A,Phy
4094,MAF,3565,IL4,Pos
4088,SMAD3,4149,MAX,Phy
27043,PELP1,2908,NR3C1,Neg
3679,ITGA7,7408,VASP,Phy
23566,LPAR3,4792,NFKBIA,Neg
8555,CDC14B,996,CDC27,Pos
5687,PSMA6,9491,PSMF1,Phy
63928,CHP2,10393,ANAPC10,Pos
5580,PRKCD,3690,ITGB3,Pos
1950,EGF,9266,CYTH2,Pos
4923,NTSR1,2776,GNAQ,Pos
5116,PCNT,8636,SSNA1,Phy
7157,TP53,4233,MET,Pos
8550,MAPKAPK5,7329,UBE2I,Pos
2736,GLI2,80326,WNT10A,Pos
5700,PSMC1,5721,PSME2,Phy
5970,RELA,841,CASP8,Neg
10274,STAG1,8243,SMC1A,Phy
1111,CHEK1,63967,CLSPN,Pos
929,CD14,653509,SFTPA1,Pos
10207,INADL,9075,CLDN2,Phy
3594,IL12RB1,6778,STAT6,Pos
10782,ZNF274,7157,TP53,Pos
5624,PROC,79581,GPR172A,Pos
84867,PTPN5,5602,MAPK10,Neg
6147,RPL23A,6157,RPL27A,Phy
10369,CACNG2,774,CACNA1B,Phy
2962,GTF2F1,2968,GTF2H4,Phy
5613,PRKX,3991,LIPE,Pos
5594,MAPK1,322,APBB1,Pos
5901,RAN,367,AR,Pos
3596,IL13,5743,PTGS2,Pos
5144,PDE4D,820,CAMP,Neg
81929,SEH1L,4116,MAGOH,Pos
6500,SKP1,6929,TCF3,Pos
1991,ELANE,1147,CHUK,Neg
5682,PSMA1,8881,CDC16,Pos
10062,NR1H3,4792,NFKBIA,Pos
79784,MYH14,93408,MYL10,Phy
