Human Signaling Network,16-Jan-14,,,
4790,NFKB1,7424,VEGFC,Pos
6195,RPS6KA1,6258,RXRG,Pos
23624,CBLC,4914,NTRK1,Neg
7337,UBE3A,5721,PSME2,Phy
3635,INPP5D,933,CD22,Phy
51343,FZR1,6790,AURKA,Pos
2597,GAPDH,1387,CREBBP,Pos
2626,GATA4,2052,EPHX1,Pos
157,ADRBK2,1235,CCR6,Pos
5071,PARK2,3832,KIF11,Neg
11059,WWP1,26994,RNF11,Neg
4067,LYN,3190,HNRNPK,Pos
2255,FGF10,3480,IGF1R,Pos
4868,NPHS1,7827,NPHS2,Phy
8803,SUCLA2,142,PARP1,Pos
4133,MAP2,673,BRAF,Pos
6868,ADAM17,958,CD40,Pos
4915,NTRK2,4909,NTF4,Phy
3459,IFNGR1,815,CAMK2A,Pos
4149,MAX,1965,EIF2S1,Pos
6957,TRB@,3561,IL2RG,Pos
387,RHOA,53358,SHC3,Neg
4751,NEK2,3059,HCLS1,Pos
7532,YWHAG,11190,CEP250,Phy
367,AR,860,RUNX2,Phy
51377,UCHL5,10393,ANAPC10,Pos
6192,RPS4Y1,6202,RPS8,Phy
5924,RASGRF2,22800,RRAS2,Pos
5564,PRKAB1,32,ACACB,Neg
1196,CLK2,84107,ZIC4,Pos
823,CAPN1,89,ACTN3,Phy
3558,IL2,1398,CRK,Pos
6934,TCF7L2,4609,MYC,Pos
1366,CLDN7,9414,TJP2,Phy
650,BMP2,7043,TGFB3,Pos
9320,TRIP12,5698,PSMB9,Phy
6195,RPS6KA1,8517,IKBKG,Pos
8655,DYNLL1,22994,AZI1,Phy
3592,IL12A,3717,JAK2,Pos
3937,LCP2,4214,MAP3K1,Pos
2821,GPI,267,AMFR,Pos
29843,SENP1,9846,GAB2,Phy
4957,ODF2,9702,CEP57,Phy
9586,CREB5,2033,EP300,Neg
10095,ARPC1B,10093,ARPC4,Phy
4301,MLLT4,5908,RAP1B,Phy
2260,FGFR1,8074,FGF23,Phy
9965,FGF19,2263,FGFR2,Pos
7027,TFDP1,1031,CDKN2C,Pos
2534,FYN,6622,SNCA,Pos
815,CAMK2A,6853,SYN1,Neg
1453,CSNK1D,1499,CTNNB1,Pos
5713,PSMD7,7189,TRAF6,Phy
5753,PTK6,4776,NFATC4,Pos
9252,RPS6KA5,660,BMX,Pos
3458,IFNG,7298,TYMS,Pos
6850,SYK,5702,PSMC3,Pos
10750,GRAP,3815,KIT,Phy
149461,CLDN19,7082,TJP1,Phy
1439,CSF2RB,5777,PTPN6,Phy
1022,CDK7,6663,SOX10,Pos
3627,CXCL10,3579,CXCR2,Pos
10850,CCL27,7852,CXCR4,Pos
5423,POLB,2087,ERVK2,Neg
1956,EGFR,23533,PIK3R5,Pos
4738,NEDD8,8454,CUL1,Phy
3600,IL15,574016,CLLU1OS,Pos
3071,NCKAP1L,3624,INHBA,Neg
1956,EGFR,1175,AP2S1,Phy
208,AKT2,572,BAD,Pos
7117,TMSL3,71,ACTG1,Phy
5695,PSMB7,6555,SLC10A2,Phy
7531,YWHAE,1781,DYNC1I2,Phy
3594,IL12RB1,4792,NFKBIA,Pos
8651,SOCS1,3575,IL7R,Neg
6368,CCL23,3577,CXCR1,Pos
2206,MS4A2,27040,LAT,Pos
80254,CEP63,54820,NDE1,Phy
