930,CD19,5290,PIK3CA,Pos
2335,FN1,8515,ITGA10,Pos
8986,RPS6KA4,5567,PRKACB,Pos
5717,PSMD11,8945,BTRC,Pos
7046,TGFBR1,7049,TGFBR3,Neg
10987,COPS5,3939,LDHA,Pos
1027,CDKN1B,10728,PTGES3,Neg
5687,PSMA6,5690,PSMB2,Phy
22981,NINL,7532,YWHAG,Phy
5347,PLK1,1781,DYNC1I2,Phy
2064,ERBB2,3084,NRG1,Phy
10603,SH2B2,3815,KIT,Phy
3371,TNC,3688,ITGB1,Pos
10750,GRAP,3636,INPPL1,Phy
3977,LIFR,7297,TYK2,Pos
5534,PPP3R1,8881,CDC16,Pos
4609,MYC,10664,CTCF,Pos
150094,SIK1,2810,SFN,Phy
1909,EDNRA,5879,RAC1,Pos
2887,GRB10,6714,SRC,Phy
4803,NGF,1398,CRK,Pos
5684,PSMA3,8881,CDC16,Pos
4088,SMAD3,5080,PAX6,Neg
8655,DYNLL1,22919,MAPRE1,Phy
8395,PIP5K1B,2934,GSN,Pos
4283,CXCL9,10803,CCR9,Pos
22995,CEP152,80184,CEP290,Phy
3122,HLA-DRA,3932,LCK,Phy
5594,MAPK1,2255,FGF10,Neg
1436,CSF1R,6457,SH3GL3,Phy
4927,NUP88,6628,SNRPB,Pos
7479,WNT8B,2535,FZD2,Pos
3682,ITGAE,1445,CSK,Pos
64682,ANAPC1,29945,ANAPC4,Pos
627,BDNF,1399,CRKL,Pos
5683,PSMA2,80227,PAAF1,Phy
4790,NFKB1,7424,VEGFC,Pos
6195,RPS6KA1,6258,RXRG,Pos
23624,CBLC,4914,NTRK1,Neg
7337,UBE3A,5721,PSME2,Phy
3635,INPP5D,933,CD22,Phy
51343,FZR1,6790,AURKA,Pos
2597,GAPDH,1387,CREBBP,Pos
4067,LYN,3190,HNRNPK,Pos
2255,FGF10,3480,IGF1R,Pos
4868,NPHS1,7827,NPHS2,Phy
8803,SUCLA2,142,PARP1,Pos
4133,MAP2,673,BRAF,Pos
6868,ADAM17,958,CD40,Pos
