Time	glucose	fructose-6-phosphate	fructose-1,6-bisphosphate	glyceraldehyde 3-phosphate	1,2-bisphospho-D-glycerate	phosphoenolpyruvate	pyruvate	adenine monophosphate	lactate	glycerol-3-phosphate	dihydrohxyacetone-phosphate	oxaloacetate	aspartate	glutamate	oxoglutarate	malate	acetyl CoA	coenzyme A	isocitrate	citrate	adenine triphosphate	adenine diphosphate	NAD	NADH	NADP	NADPH	ubiquinone	ubiquinol	ferrocytochrome c	ferricytochrome c	pyruvate (mito)	carbon dioxide	coenzyme A (mito)	acetyl CoA (mito)	phosphate	fumarate	succinyl-CoA	succinate	guanosine triphosphate	guanosine diphosphate	slanine	aspartate (mito)	glutamate (mito)	water	electron transfer flavoprotein (reduced form)	electron transfer flavoprotein (oxidised form)	FADH2	FAD	oxoglutarate (mto)	malate (mito)	oxaloacetate (mito)	citrate (mito)	isocitrate (mito)	adenine triphosphate (mito)	adenine diphosphate (mito)	NADP+	NADPH (mito)	NAD+	NADH (mito)
10.5	0.00266642	0.00158682	0.000163076	0.000108224	0.00314523	2.19E-05	7.71E-05	1.63E-06	0.00422979	0.00769252	0.00769248	4.19E-07	0.001362	0.002808	4.09E-06	0.000345116	3.00E-05	0.000272	0.000415786	0.000599344	0.00614474	0.000100071	0.000751791	0.0034849	0.0035925	0.000644184	0.0256946	0.0283054	0.00292392	0.000186084	0.00054493	0.00212019	1.45E-05	0.000526231	0.00357451	0.000119898	5.54E-05	0.00328097	0.00473899	0.000211014	0.00344005	0.00085759	0.00331236	0.00119285	0.000385488	0.000244512	7.20E-05	0.00100995	8.98E-06	0.00055361	5.91E-06	0.000374975	0.000258171	0.00302586	0.000279316	0.0100774	9.46E-05	0.0101157	0.000704308
11	0.00276995	0.00182031	0.000103035	6.91E-05	0.00319144	2.20E-05	7.12E-05	1.55E-06	0.00433498	0.00769253	0.00769247	4.10E-07	0.00136288	0.00280712	4.00E-06	0.000344915	3.00E-05	0.000272	0.000411837	0.000603578	0.00621593	9.82E-05	0.000713428	0.00352326	0.00359123	0.000645453	0.02568	0.02832	0.00292036	0.000189642	0.000537923	0.00212766	1.36E-05	0.000533977	0.00356067	0.000119696	4.85E-05	0.0032911	0.00474593	0.000204073	0.00344005	0.000855019	0.00331493	0.00120005	0.000386418	0.000243582	7.21E-05	0.00100995	8.75E-06	0.000551749	5.92E-06	0.000376513	0.000254969	0.00296331	0.000272637	0.0100764	9.56E-05	0.0101286	0.000691428
11.5	0.00287257	0.00205308	6.75E-05	4.33E-05	0.00317835	2.20E-05	7.00E-05	1.55E-06	0.00443442	0.00769253	0.00769247	4.02E-07	0.00136353	0.00280647	3.92E-06	0.000344733	3.00E-05	0.000272	0.000407907	0.000607766	0.00628381	9.86E-05	0.000729804	0.00350688	0.00358997	0.000646715	0.0256656	0.0283344	0.0029168	0.000193196	0.000531416	0.00213464	1.28E-05	0.000541222	0.0035475	0.000119498	4.21E-05	0.00330058	0.00475235	0.000197653	0.00344006	0.000852718	0.00331723	0.00120708	0.000387265	0.000242735	7.21E-05	0.00100994	8.54E-06	0.000549965	5.94E-06	0.00037804	0.000251817	0.00290151	0.000266118	0.0100754	9.66E-05	0.0101415	0.000678457
12	0.00297432	0.00228454	4.72E-05	2.75E-05	0.00312782	2.17E-05	7.06E-05	1.59E-06	0.00453178	0.00769253	0.00769247	3.95E-07	0.00136399	0.00280601	3.85E-06	0.000344568	3.00E-05	0.000272	0.000403999	0.000611908	0.00634932	0.000100489	0.000781897	0.00345479	0.00358872	0.000647968	0.0256515	0.0283485	0.00291326	0.000196744	0.000525404	0.00214111	1.19E-05	0.000547969	0.00353501	0.000119304	3.62E-05	0.00330942	0.00475826	0.000191743	0.00344006	0.000850652	0.00331929	0.00121395	0.000388036	0.000241964	7.21E-05	0.00100994	8.34E-06	0.000548253	5.95E-06	0.000379555	0.000248714	0.00284046	0.000259759	0.0100743	9.77E-05	0.0101546	0.000665401
12.5	0.00307523	0.00251403	3.67E-05	1.88E-05	0.00305458	2.14E-05	7.23E-05	1.66E-06	0.00462835	0.00769253	0.00769247	3.88E-07	0.00136427	0.00280573	3.78E-06	0.00034442	3.00E-05	0.000272	0.000400111	0.000616006	0.00641283	0.000103395	0.000855748	0.00338094	0.00358747	0.000649214	0.0256375	0.0283625	0.00290971	0.000200289	0.000519883	0.0021471	1.11E-05	0.000554225	0.00352316	0.000119113	3.08E-05	0.00331764	0.00476367	0.000186333	0.00344006	0.000848789	0.00332115	0.00122067	0.00038874	0.00024126	7.21E-05	0.00100994	8.16E-06	0.00054661	5.95E-06	0.000381058	0.000245657	0.00278017	0.000253559	0.0100733	9.87E-05	0.0101677	0.000652268
13	0.00317531	0.00274068	3.28E-05	1.47E-05	0.00296861	2.11E-05	7.47E-05	1.77E-06	0.00472487	0.00769253	0.00769247	3.82E-07	0.00136441	0.00280559	3.72E-06	0.000344289	3.00E-05	0.000272	0.000396247	0.000620059	0.00647447	0.00010721	0.000941581	0.00329511	0.00358624	0.000650452	0.0256238	0.0283762	0.00290617	0.000203829	0.000514846	0.0021526	1.02E-05	0.000559995	0.00351196	0.000118925	2.59E-05	0.00332526	0.00476859	0.000181412	0.00344006	0.000847101	0.00332284	0.00122723	0.000389384	0.000240616	7.21E-05	0.00100994	7.99E-06	0.000545031	5.96E-06	0.000382549	0.000242646	0.00272065	0.000247517	0.0100723	9.97E-05	0.0101809	0.000639067
13.5	0.0032746	0.00296331	3.39E-05	1.35E-05	0.00287666	2.07E-05	7.77E-05	1.91E-06	0.00482198	0.00769254	0.00769246	3.76E-07	0.00136443	0.00280557	3.66E-06	0.000344172	3.00E-05	0.000272	0.000392407	0.000624068	0.00653424	0.00011193	0.00103272	0.00320397	0.00358501	0.000651683	0.0256104	0.0283896	0.00290264	0.000207364	0.000510287	0.00215763	9.35E-06	0.000565286	0.00350138	0.00011874	2.15E-05	0.00333229	0.00477303	0.000176969	0.00344007	0.000845566	0.00332437	0.00123365	0.000389974	0.000240026	7.21E-05	0.00100993	7.83E-06	0.000543512	5.96E-06	0.000384026	0.00023968	0.00266191	0.00024163	0.0100713	0.000100716	0.0101942	0.000625805
14	0.0033731	0.00318027	3.92E-05	1.43E-05	0.00278336	2.04E-05	8.14E-05	2.09E-06	0.00492034	0.00769254	0.00769246	3.70E-07	0.00136434	0.00280566	3.61E-06	0.000344071	3.00E-05	0.000272	0.000388591	0.000628034	0.006592	0.000117681	0.00112445	0.00311224	0.00358378	0.000652905	0.0255972	0.0284028	0.0028991	0.000210895	0.000506199	0.0021622	8.48E-06	0.000570105	0.00349141	0.000118558	1.75E-05	0.00333876	0.00477701	0.000172991	0.00344007	0.000844162	0.00332577	0.00123992	0.000390515	0.000239485	7.21E-05	0.00100993	7.69E-06	0.000542051	5.96E-06	0.00038549	0.000236758	0.00260394	0.000235899	0.0100703	0.000101729	0.0102075	0.000612491
14.5	0.00347084	0.00338913	4.91E-05	1.69E-05	0.00269229	2.02E-05	8.60E-05	2.33E-06	0.00502085	0.00769254	0.00769246	3.65E-07	0.00136417	0.00280583	3.55E-06	0.000343983	3.00E-05	0.000272	0.000384802	0.000631957	0.00664744	0.000124764	0.00121302	0.00302367	0.00358257	0.000654119	0.0255844	0.0284156	0.00289558	0.000214423	0.000502574	0.0021663	7.63E-06	0.000574461	0.00348203	0.000118379	1.40E-05	0.00334469	0.00478053	0.000169469	0.00344007	0.000842873	0.00332706	0.00124606	0.000391013	0.000238987	7.21E-05	0.00100993	7.55E-06	0.000540643	5.96E-06	0.00038694	0.000233878	0.00254676	0.000230321	0.0100693	0.00010274	0.0102209	0.000599135
15	0.00356784	0.003586	6.48E-05	2.14E-05	0.00260673	2.01E-05	9.17E-05	2.66E-06	0.00512474	0.00769254	0.00769246	3.60E-07	0.00136392	0.00280608	3.51E-06	0.000343907	3.00E-05	0.000272	0.000381039	0.000635838	0.00669992	0.00013378	0.00129481	0.00294188	0.00358136	0.000655325	0.0255718	0.0284282	0.00289205	0.000217946	0.000499406	0.00216995	6.78E-06	0.00057836	0.00347323	0.000118201	1.10E-05	0.00335008	0.00478361	0.00016639	0.00344007	0.000841683	0.00332824	0.00125205	0.000391472	0.000238528	7.21E-05	0.00100992	7.42E-06	0.000539285	5.96E-06	0.000388375	0.00023104	0.00249036	0.000224896	0.0100683	0.000103749	0.0102343	0.000585745
