Time	BM	ACT	GLC	ACoA	AKG	cAMP	FBP	G6P	GLX	ICT	MAL	OAA	PEP	PG3	PYR	AceA	AceB	AceK	Acoa2act	Acs	Akg2mal	CAMPdegr	Cya	Emp	Eno	Fdp	GltA	Icd	Icd_P	Mdh	Me	PckA	Pdh	PfkA	Ppc	PpsA	PykF	Cra	CraFBP	Crp	CrpcAMP	IclR	PdhR	PdhRPYR	EIIA	EIIA_P	EIICB
15900	0.524611	0.170676	3.75841	0.413483	0.200507	0.202786	6.57373	1.90802	5.33E-09	0.00144524	3.36565	0.0489738	0.210435	5.71982	0.862706	0.00472461	0.00141738	0.000141738	0.001	0.00109607	0.00102681	0.001	0.001	0.0115156	0.0115529	0.000157539	0.00102955	0.00429115	0.000220914	0.00345707	0.00100035	0.0022917	0.00464693	0.000143806	0.000999515	0.000987855	0.00597699	0.000299213	0.00699079	0.00594337	0.00134663	0.00729	0.00116446	0.00612554	0.0964774	0.00352259	0.003
16695	0.6053	0.198429	3.58849	0.413541	0.200518	0.20279	6.57375	1.90802	5.33E-09	0.00144528	3.36574	0.0489729	0.210435	5.71983	0.86267	0.00472463	0.00141739	0.000141739	0.001	0.00109609	0.00102681	0.001	0.001	0.0115156	0.0115529	0.000157539	0.00102956	0.00429112	0.000220941	0.0034571	0.00100037	0.0022917	0.00464691	0.000143806	0.00099951	0.000987855	0.00597698	0.000299211	0.00699079	0.00594335	0.00134665	0.00729	0.0011645	0.0061255	0.0964773	0.00352267	0.003
17490	0.698399	0.230446	3.39242	0.413594	0.200528	0.202795	6.57377	1.90802	5.33E-09	0.00144533	3.36582	0.0489723	0.210435	5.71985	0.862624	0.00472464	0.00141739	0.000141739	0.001	0.00109611	0.00102682	0.001	0.001	0.0115156	0.0115529	0.000157539	0.00102957	0.00429109	0.000220976	0.00345713	0.00100039	0.0022917	0.00464688	0.000143806	0.000999503	0.000987854	0.00597698	0.000299209	0.00699079	0.00594332	0.00134668	0.00729	0.00116456	0.00612544	0.0964772	0.00352277	0.003
18285	0.805815	0.267382	3.1662	0.413642	0.200539	0.202803	6.5738	1.90802	5.33E-09	0.00144539	3.36591	0.0489721	0.210435	5.71987	0.862563	0.00472466	0.0014174	0.00014174	0.001	0.00109613	0.00102683	0.001	0.001	0.0115156	0.0115528	0.000157538	0.00102958	0.00429103	0.000221023	0.00345716	0.00100042	0.00229169	0.00464685	0.000143806	0.000999495	0.000987851	0.00597698	0.000299207	0.00699079	0.00594328	0.00134672	0.00729	0.00116462	0.00612538	0.0964771	0.00352289	0.003
19080	0.92975	0.309993	2.90519	0.41369	0.200552	0.202812	6.57384	1.90803	5.33E-09	0.00144545	3.36601	0.0489722	0.210435	5.71989	0.86248	0.00472468	0.0014174	0.00014174	0.001	0.00109617	0.00102684	0.001	0.001	0.0115156	0.0115528	0.000157538	0.00102959	0.00429096	0.000221086	0.00345721	0.00100046	0.00229168	0.0046468	0.000143806	0.000999485	0.000987847	0.00597697	0.000299203	0.0069908	0.00594323	0.00134677	0.00729	0.00116472	0.00612528	0.0964769	0.00352307	0.003
19875	1.07274	0.359148	2.60404	0.413739	0.200567	0.202826	6.57389	1.90803	5.33E-09	0.00144553	3.36612	0.0489728	0.210435	5.71993	0.862361	0.00472471	0.00141741	0.000141741	0.001	0.00109621	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157537	0.00102961	0.00429085	0.000221176	0.00345727	0.0010005	0.00229167	0.00464675	0.000143806	0.000999472	0.000987841	0.00597697	0.000299198	0.0069908	0.00594315	0.00134685	0.00729	0.00116485	0.00612515	0.0964767	0.00352331	0.003
20670	1.23772	0.415851	2.25657	0.413795	0.200588	0.202846	6.57398	1.90803	5.33E-09	0.00144563	3.36627	0.0489742	0.210434	5.71998	0.862182	0.00472474	0.00141742	0.000141742	0.001	0.00109628	0.00102687	0.001	0.001	0.0115156	0.0115528	0.000157536	0.00102964	0.00429069	0.000221313	0.00345735	0.00100056	0.00229165	0.00464667	0.000143806	0.000999455	0.000987832	0.00597696	0.000299191	0.00699081	0.00594305	0.00134695	0.00729	0.00116506	0.00612494	0.0964763	0.00352366	0.003
21465	1.42805	0.481256	1.85566	0.413869	0.200619	0.202879	6.57411	1.90803	5.33E-09	0.0014458	3.3665	0.0489772	0.210433	5.72006	0.861886	0.00472478	0.00141743	0.000141743	0.001	0.00109637	0.00102689	0.001	0.001	0.0115156	0.0115528	0.000157534	0.00102968	0.00429043	0.000221539	0.00345747	0.00100065	0.00229162	0.00464656	0.000143806	0.00099943	0.000987819	0.00597695	0.00029918	0.00699082	0.00594287	0.00134713	0.00729	0.00116539	0.00612461	0.0964757	0.00352424	0.003
22260	1.64763	0.556682	1.39311	0.41399	0.200674	0.20294	6.57435	1.90803	5.33E-09	0.00144608	3.36692	0.0489835	0.210432	5.72021	0.861318	0.00472485	0.00141746	0.000141746	0.001	0.00109651	0.00102693	0.001	0.001	0.0115156	0.0115527	0.000157531	0.00102974	0.00428994	0.000221974	0.00345766	0.00100078	0.00229157	0.00464638	0.000143806	0.000999392	0.000987798	0.00597693	0.000299159	0.00699084	0.00594254	0.00134746	0.00729	0.00116604	0.00612396	0.0964747	0.00352532	0.003
23055	1.90091	0.643623	0.859433	0.414278	0.200808	0.203093	6.57493	1.90803	5.33E-09	0.00144677	3.36798	0.0490016	0.210427	5.72055	0.859858	0.00472499	0.0014175	0.00014175	0.001	0.00109676	0.001027	0.001	0.001	0.0115156	0.0115526	0.000157526	0.00102985	0.0042887	0.0002231	0.00345801	0.00100101	0.00229148	0.00464604	0.000143805	0.000999321	0.000987759	0.0059769	0.000299108	0.00699089	0.00594171	0.00134829	0.00729	0.0011677	0.0061223	0.096472	0.00352802	0.003
23850	2.19284	0.743556	0.243743	0.416228	0.20168	0.204101	6.57852	1.908	5.33E-09	0.00145111	3.37514	0.0491347	0.210393	5.72248	0.849925	0.00472545	0.00141764	0.000141764	0.001	0.00109754	0.00102722	0.001	0.001	0.0115155	0.0115523	0.00015751	0.00103018	0.00428052	0.000230972	0.00345905	0.00100171	0.00229123	0.00464499	0.000143804	0.000999112	0.000987645	0.0059768	0.000298795	0.0069912	0.00593626	0.00135374	0.00729	0.00117914	0.00611086	0.0964541	0.00354586	0.003
24645	2.37318	0.7528	-5.51E-67	0.857805	0.131261	3.84111	0.0342372	0.00354093	25.7925	0.204158	3.12467	0.0100169	0.0371455	0.114329	0.00635081	0.00896217	0.00268865	0.000268865	0.001	0.00146065	0.00107392	0.001	0.001	0.0114377	0.0113298	0.000172331	0.00112985	0.000368296	0.00436806	0.00375758	0.00110481	0.00298922	0.00451254	0.000141499	0.000968114	0.00149006	0.00578061	0.00728538	4.62E-06	0.00137762	0.00591238	0.00729	0.00701822	0.000271775	0.0063887	0.0936113	0.003
25440	2.48107	0.688912	3.28E-77	0.748657	0.203618	3.93122	0.0554833	0.0329025	25.126	0.270629	3.84186	0.0165343	0.0635897	0.192557	0.00950228	0.0153784	0.00461351	0.000461351	0.001	0.00201797	0.00114557	0.001	0.001	0.0113266	0.0110005	0.000194518	0.00128414	0.000547444	0.00452623	0.00421928	0.0012526	0.0040359	0.00432375	0.000138104	0.00092367	0.0022451	0.00548942	0.00727789	1.21E-05	0.0013519	0.0059381	0.00729	0.00689075	0.000399253	0.00562867	0.0943713	0.003
