Time	ERKPP	AktPIPP	Akt	AktPIP3	AktPIP	ERK	ERKP	GS	HRG	MEK	MEKP	MEKPP	PI3K	PI3Kstar	PIP3	R	RP	RHRG	RHRG2	RPI3K	RPI3Kstar	RShGS	RShP	RShc	Raf	Rafstar	RasGDP	RasGTP	ShGS	ShP	Shc	P_I	internalization	E	MKP3	PP2A
168	730.256	3.49126	4.85012	0.512535	1.14609	99.1353	170.609	9.97158	250.029	1.80823	69.6372	48.5546	3.74994	5.67547	0.0487706	0.0289038	12.9482	11.4032	12.9918	0.411113	0.163479	0.0281372	0.0256971	0.00699881	99.9493	0.0506913	120	1.24E-05	0.000282302	999.925	0.0142772	794.801	7.70849	7	2.4	11.4
171	733.607	3.43467	4.9058	0.517463	1.14207	96.635	169.758	9.97172	250.029	1.88902	71.1088	47.0022	3.76179	5.66505	0.0486808	0.0288464	12.8837	11.3805	12.9402	0.410355	0.162804	0.0279966	0.0255684	0.00696664	99.9534	0.0466422	120	1.24E-05	0.000282297	999.925	0.0143237	794.857	7.83765	7	2.4	11.4
174	736.627	3.37793	4.96184	0.522408	1.13783	94.3011	169.072	9.97186	250.029	1.97319	72.5611	45.4657	3.77364	5.65463	0.0485909	0.0287891	12.8197	11.3579	12.8889	0.409597	0.162133	0.0278569	0.0254405	0.00693467	99.9571	0.0429478	120	1.24E-05	0.000282292	999.925	0.0143704	794.913	7.96616	7	2.4	11.4
177	739.329	3.32112	5.01815	0.52736	1.13337	92.1238	168.547	9.972	250.029	2.06077	73.9924	43.9468	3.7855	5.6442	0.048501	0.0287319	12.756	11.3353	12.8377	0.408839	0.161465	0.027718	0.0253134	0.0069029	99.9604	0.0395761	120	1.24E-05	0.000282287	999.925	0.0144172	794.97	8.09404	7	2.4	11.4
180	741.728	3.26432	5.07468	0.532311	1.12869	90.0941	168.178	9.97214	250.029	2.15177	75.4014	42.4468	3.79735	5.63377	0.0484111	0.0286749	12.6927	11.3128	12.7868	0.408081	0.160801	0.02758	0.0251871	0.00687132	99.9635	0.0364977	120	1.24E-05	0.000282282	999.926	0.0144642	795.026	8.22128	7	2.4	11.4
183	743.836	3.2076	5.13134	0.537254	1.12381	88.2033	167.96	9.97227	250.029	2.24622	76.7865	40.9673	3.8092	5.62334	0.0483211	0.028618	12.6297	11.2904	12.7361	0.407322	0.16014	0.0274428	0.0250616	0.00683994	99.9663	0.0336862	120	1.24E-05	0.000282277	999.926	0.0145114	795.083	8.3479	7	2.4	11.4
186	745.666	3.15105	5.18805	0.54218	1.11872	86.4437	167.891	9.97241	250.029	2.34414	78.1464	39.5094	3.82105	5.6129	0.0482311	0.0285612	12.5672	11.268	12.6855	0.406564	0.159483	0.0273065	0.0249369	0.00680876	99.9689	0.0311175	120	1.24E-05	0.000282272	999.926	0.0145588	795.14	8.47388	7	2.4	11.4
189	747.228	3.09475	5.24474	0.547081	1.11343	84.8078	167.964	9.97255	250.029	2.44556	79.4799	38.0745	3.83291	5.60246	0.0481411	0.0285046	12.5051	11.2456	12.6352	0.405805	0.158829	0.027171	0.0248129	0.00677777	99.9712	0.0287697	120	1.24E-05	0.000282267	999.926	0.0146063	795.197	8.59924	7	2.4	11.4
192	748.533	3.03876	5.30134	0.55195	1.10795	83.2889	168.178	9.97268	250.028	2.5505	80.7859	36.6637	3.84476	5.59202	0.0480511	0.028448	12.4433	11.2233	12.5851	0.405046	0.158179	0.0270364	0.0246897	0.00674697	99.9734	0.0266231	120	1.24E-05	0.000282263	999.927	0.0146541	795.253	8.72398	7	2.4	11.4
195	749.592	2.98318	5.35775	0.556778	1.10229	81.8806	168.527	9.97282	250.028	2.65896	82.0631	35.278	3.85661	5.58158	0.047961	0.0283916	12.3819	11.2011	12.5353	0.404287	0.157532	0.0269026	0.0245673	0.00671636	99.9753	0.0246597	120	1.24E-05	0.000282258	999.927	0.014702	795.31	8.84811	7	2.4	11.4
198	750.414	2.92807	5.41392	0.561557	1.09645	80.577	169.009	9.97295	250.028	2.77096	83.3105	33.9185	3.86845	5.57113	0.0478709	0.0283353	12.3209	11.1789	12.4856	0.403528	0.156889	0.0267696	0.0244456	0.00668593	99.9771	0.0228631	120	1.24E-05	0.000282253	999.927	0.0147501	795.366	8.97162	7	2.4	11.4
201	751.008	2.87351	5.46975	0.56628	1.09046	79.3727	169.619	9.97308	250.028	2.88651	84.5273	32.5862	3.8803	5.56068	0.0477808	0.0282791	12.2602	11.1567	12.4361	0.402769	0.156249	0.0266374	0.0243247	0.0066557	99.9788	0.0212185	120	1.24E-05	0.000282248	999.927	0.0147984	795.422	9.09453	7	2.4	11.4
204	751.382	2.81957	5.52518	0.57094	1.08431	78.2624	170.355	9.97321	250.028	3.00561	85.7125	31.2819	3.89215	5.55023	0.0476907	0.0282231	12.2	11.1346	12.3868	0.402009	0.155612	0.026506	0.0242045	0.00662565	99.9803	0.0197124	120	1.24E-05	0.000282244	999.928	0.0148469	795.477	9.21683	7	2.4	11.4
207	751.545	2.76632	5.58013	0.575528	1.07802	77.2416	171.213	9.97334	250.028	3.12828	86.8653	30.0064	3.90399	5.53978	0.0476005	0.0281672	12.1401	11.1125	12.3378	0.40125	0.154978	0.0263755	0.0240851	0.00659579	99.9817	0.0183327	120	1.24E-05	0.000282239	999.928	0.0148955	795.533	9.33853	7	2.4	11.4
210	751.504	2.71382	5.63453	0.580037	1.07161	76.3056	172.19	9.97347	250.028	3.2545	87.9851	28.7604	3.91584	5.52933	0.0475104	0.0281114	12.0805	11.0905	12.2889	0.40049	0.154348	0.0262457	0.0239663	0.00656611	99.9829	0.0170681	120	1.24E-05	0.000282234	999.928	0.0149443	795.587	9.45963	7	2.4	11.4
213	751.266	2.66213	5.68832	0.584462	1.06509	75.4505	173.283	9.9736	250.028	3.38427	89.0711	27.5446	3.92768	5.51887	0.0474202	0.0280557	12.0213	11.0685	12.2403	0.399731	0.153721	0.0261167	0.0238484	0.00653661	99.9841	0.0159087	120	1.24E-05	0.00028223	999.928	0.0149934	795.641	9.58014	7	2.4	11.4
216	750.838	2.61133	5.74141	0.588795	1.05846	74.6723	174.489	9.97373	250.028	3.51758	90.1228	26.3596	3.93952	5.50841	0.04733	0.0280002	11.9625	11.0466	12.1918	0.398971	0.153098	0.0259885	0.0237311	0.00650729	99.9852	0.0148452	120	1.24E-05	0.000282225	999.928	0.0150426	795.694	9.70006	7	2.4	11.4
219	750.227	2.56146	5.79375	0.593029	1.05175	73.9675	175.805	9.97386	250.028	3.65442	91.1398	25.2058	3.95135	5.49796	0.0472398	0.0279447	11.904	11.0248	12.1436	0.398211	0.152478	0.0258611	0.0236145	0.00647815	99.9861	0.0138693	120	1.24E-05	0.000282221	999.929	0.015092	795.747	9.81939	7	2.4	11.4
222	749.439	2.51259	5.84528	0.59716	1.04498	73.3326	177.228	9.97398	250.028	3.79477	92.1215	24.0838	3.96319	5.4875	0.0471495	0.0278894	11.8459	11.0029	12.0955	0.397451	0.15186	0.0257345	0.0234987	0.00644918	99.987	0.0129734	120	1.24E-05	0.000282216	999.929	0.0151415	795.798	9.93814	7	2.4	11.4
